               Permutacion                     best  
iter            1 2 3 4 5 6         dactual    discre   destimada
______________________________________________________________________
0    		2            	      24         inf     61
1               2 1                   48         inf     85
2               2 1 4                 67         inf     91
3               2 1 4 3               86         inf     110
4               2 1 4 3 6             98         inf     98
5               2 1 4 3 6 5           110        inf     110
6               2 1 5                 58         110     92
7               2 1 5 6               75         110     75
8               2 1 5 6 3             85         110     85
9               2 1 5 6 3 4           102        110     102
10              2 1 6                 54         102     84
11              2 1 6 5                 69      102     69
12              2 1 6 5 4               84      102     84
13              2 1 6 5 4 3             90      102     90
14              3                       25      90      57
15              3 4                     35      90      59
16              3 4 1                   60      90      84
17              3 4 1 2                 70      90      94
18              3 5                     30      90      64
19              3 5 1                   55      90      89
20              3 5 1 6                 72      90      72
21              3 5 1 6 2               77      90      77
22              3 5 1 6 2 4             94      90      94
23              3 6                     42      90      72
24              3 6 1                   67      90      97
25              4                       34      90      56
26              4 3                     49      90      73
27              4 3 2                   64      90      88
28              4 3 2 1                 98      90      122
29              4 5                     39      90      51
30              4 5 6                   45      90      45
31              4 5 6 1                 79      90      79
32              4 5 6 1 2               84      90      84
33              4 5 6 1 2 3             90      90      90
34              4 6                     51      90      71
35              4 6 5                   61      90      61
36              4 6 5 1                 95      90      95
37              5                       19      90      51
38              5 3                     34      90      68
39              5 3 2                   49      90      83
40              5 3 2 6                 66      90      66
41              5 3 2 6 1               85      90      85
42              5 3 2 6 1 4             102     90      102
43              5 4                     29      90      41
44              5 4 6                   35      90      35
45              5 4 6 2                 45      90      45
46              5 4 6 2 1               64      90      64
47              5 4 6 2 1 3             70      90      70
48              5 6                     36      70      74
49              6                       25      70      55
50              6 3                     40      70      70
51              6 3 2                   55      70      85
52              6 4                     35      70      55
53              6 4 5                   45      70      45
54              6 4 5 2                 55      70      55
55              6 4 5 2 3               65      70      65
56              6 4 5 2 3 1             90      70      90
57              6 5                     30      70      68
58              6 5 4                  49      70      49
59              6 5 4 3                 68      70      68
60              6 5 4 3 2               73      70      73
